time,open,high,low,close
1085950800,78.34,78.34,76.275,77.275
1086555600,77.275,77.46,76.135,76.135
1087160400,76.275,76.395,74.79,74.995
1087765200,74.985,75.355,74.655,75.355
1088370000,75.335,77.265,74.7,77.265
1088974800,77.255,78.56,77.255,78.105
1089579600,78.065,79.565,78.065,79.565
1090184400,79.625,79.625,78.145,78.145
1090789200,78.095,78.35,77.58,78.245
1091394000,78.155,78.845,77.88,78.845
1091998800,78.885,79.39,78.885,79.375
1092603600,78.975,79.34,78.27,78.985
1093208400,79.015,79.015,77.065,77.065
1093813200,76.865,77.03,76.36,76.375
1094418000,76.385,76.385,75.51,76.265
1095022800,76.245,76.97,76.245,76.645
1095627600,76.665,79.05,76.665,79.035
1096232400,79.005,80.245,79.005,80.245
1096837200,80.105,80.985,80.075,80.475
1097442000,80.725,80.725,79.705,79.945
1098046800,79.845,79.845,78.79,79.245
1098651600,79.545,79.7,79.28,79.38
1099260000,79.185,80.545,79.185,80.545
1099864800,80.485,81.53,79.96,81.215
1100469600,81.235,81.45,80.775,80.775
1101074400,80.815,81.21,80.75,81.105
1101679200,81.125,81.125,79.44,79.785
1102284000,79.775,79.79,78.86,78.995
1102888800,78.925,79.85,78.925,79.635
1103493600,79.365,79.79,79.365,79.705
1104098400,79.785,80.395,79.785,80.135
1104703200,80.195,80.46,79.14,79.345
1105308000,79.375,79.515,77.14,77.425
1105912800,77.485,79.42,77.01,79.025
1106517600,79.035,80.32,78.87,80.045
1107122400,80.145,80.89,79.87,80.185
1107727200,80.225,83.2,79.865,83.095
1108332000,82.855,83.45,82.05,83.295
1108936800,83.395,83.545,82.24,82.755
1109541600,82.835,83.04,81.52,82.855
1110146400,82.725,83.67,81.99,82.455
1110751200,82.325,83.275,82.11,83.255
1111356000,83.185,83.32,81.53,82.065
1111960800,82.125,83.19,82.095,82.935
1112562000,82.905,83.85,82.57,83.535
1113166800,83.515,83.93,82.745,82.835
1113771600,82.735,83.255,82.05,82.805
1114376400,82.315,82.78,81.785,81.805
1114981200,81.965,82.26,81.01,81.445
1115586000,81.425,82.29,81.285,81.705
1116190800,81.735,81.82,80.66,81.775
1116795600,81.695,82.47,81.56,82.355
1117400400,82.185,82.38,81.14,81.465
1118005200,81.395,82.84,81.33,82.715
1118610000,82.805,84.78,82.57,84.455
1119214800,84.535,85.02,83.65,83.905
1119819600,83.935,84.72,83.775,84.055
1120424400,84.015,84.045,82.68,83.225
1121029200,83.295,84.54,83.11,84.055
1121634000,84.045,85.7,83.885,84.985
1122238800,84.925,85.52,84.655,85.105
1122843600,85.115,86.3,84.9,86.005
1123448400,86.035,86.375,84.41,84.435
1124053200,84.575,84.72,82.845,82.995
1124658000,83.005,83.74,82.66,83.325
1125262800,83.295,84.035,82.95,84.025
1125867600,83.875,85.52,83.61,85.015
1126472400,84.505,85.51,84.495,85.485
1127077200,85.355,86.07,84.64,85.165
1127682000,85.115,86.74,84.79,86.475
1128286800,86.505,87.36,85.75,86.145
1128891600,86.005,86.77,85.59,85.815
1129496400,86.005,87.07,85.73,86.795
1130101200,86.705,87.62,86.31,86.655
1130709600,86.735,87.21,86.33,86.755
1131314400,86.565,86.765,85.87,86.475
1131919200,86.445,87.455,86.33,87.325
1132524000,87.335,88.16,87.2,88.015
1133128800,87.865,90.34,87.76,90.225
1133733600,90.445,91.36,89.85,90.565
1134338400,90.405,90.98,85.95,86.015
1134943200,86.045,86.95,84.54,84.645
1135548000,84.665,86.67,84.665,86.305
1136152800,86.305,87.01,85.7,86.305
1136757600,86.265,86.42,85.55,86.235
1137362400,86.185,87.1,85.67,86.235
1137967200,86.295,88.22,85.75,87.925
1138572000,87.965,89.43,87.755,89.075
1139176800,89.075,89.145,86.64,86.935
1139781600,86.865,87.48,86.35,87.295
1140386400,87.365,87.92,85.99,86.435
1140991200,86.335,86.94,85.5,86.735
1141596000,86.645,87.41,86.1,87.105
1142200800,87.065,87.56,84.16,84.295
1142805600,84.485,84.535,83.165,83.255
1143410400,83.325,84.405,82.11,84.385
1144011600,84.345,86.33,83.82,85.895
1144616400,85.735,86.98,85.705,86.385
1145221200,86.315,87.87,86.105,86.755
1145826000,86.325,86.67,85.06,86.455
1146430800,86.265,87.81,85.75,86.975
1147035600,86.555,86.72,84.78,85.015
1147640400,84.885,85.26,83.63,84.675
1148245200,84.545,85.51,83.57,85.345
1148850000,85.165,85.81,83.53,84.035
1149454800,83.925,85.445,83.5,85.255
1150059600,85.365,85.66,84.59,85.015
1150664400,85.045,85.39,84.36,85.295
1151269200,85.215,85.49,84.6,85.015
1151874000,85.035,86.18,84.825,85.665
1152478800,85.695,87.8,85.08,87.445
1153083600,87.495,88.07,87.18,87.395
1153688400,87.425,88.89,87.365,87.995
1154293200,87.995,88.025,87.22,87.585
1154898000,87.495,89.25,87.28,89.125
1155502800,89.015,89.38,87.68,87.945
1156107600,87.865,89.2,87.74,88.815
1156712400,88.735,89.865,88.6,89.805
1157317200,89.785,89.87,87.8,88.165
1157922000,88.075,88.97,87.77,88.505
1158526800,88.185,89.26,87.27,87.455
1159131600,87.375,88.34,87.3,88.165
1159736400,88.075,88.41,87.55,88.385
1160341200,88.285,89.97,88.16,89.865
1160946000,89.855,90.085,89.13,90.075
1161550800,90.105,90.84,89.915,90.365
1162159200,90.275,90.97,90.09,90.845
1162764000,90.905,91.27,89.98,90.285
1163368800,90.205,90.86,89.8,90.545
1163973600,90.655,91.02,89.89,90.265
1164578400,90.33,91.85,90.08,91.065
1165183200,91.175,91.58,90.08,91.375
1165788000,91.375,92.47,91.165,92.295
1166392800,92.215,93.22,91.94,93.115
1166997600,93.115,94.21,92.525,93.895
1167602400,93.895,95,92.31,92.375
1168207200,92.455,94.34,92.01,94.305
1168812000,94.425,95.87,94.16,95.775
1169416800,95.71,96.45,93.63,94.025
1170021600,93.975,94.57,93.19,93.885
1170626400,93.775,94.82,93.11,94.495
1171231200,94.505,94.89,93.42,93.975
1171836000,94.06,95.94,93.81,95.855
1172440800,95.755,95.895,91.2,91.345
1173045600,91.205,92.43,88.51,92.315
1173646800,92.485,93.28,90.44,92.915
1174251600,92.515,95.39,92.3,95.085
1174856400,95.145,95.79,93.79,95.266
1175461200,95.2,97.58,95.02,97.334
1176066000,97.36,99.409,97.284,99.39
1176670800,99.507,100.035,97.453,99.398
1177275600,99.471,99.545,97.443,99.28
1177880400,98.881,99.49,98.301,98.726
1178485200,98.645,100.348,98.534,99.951
1179090000,100.034,100.456,99.168,99.666
1179694800,99.863,100.378,98.95,99.614
1180299600,99.646,101.704,99.125,101.704
1180904400,101.674,102.87,101.242,102.834
1181509200,102.77,103.968,102.04,103.956
1182114000,103.69,105.376,103.675,104.948
1182718800,104.938,105.266,102.197,104.607
1183323600,104.53,105.897,104.423,105.854
1183928400,105.82,106.369,103.79,106.223
1184533200,106.205,107.735,105.935,106.746
1185138000,106.93,107.295,100.846,101.046
1185742800,100.795,102.825,99.456,100.895
1186347600,100.29,103.64,98.531,99.985
1186952400,99.905,100.56,86,91.214
1187557200,90.975,96.333,90.275,96.315
1188162000,96.5,97.03,91.72,94.765
1188766800,94.401,96.471,93.155,93.72
1189371600,93.42,97.234,92.219,97.12
1189976400,96.981,100.172,95.015,100.085
1190581200,100.01,102.019,98.413,101.923
1191186000,101.92,105.22,101.645,104.984
1191790800,105.18,106.655,104.379,106.383
1192395600,106.34,106.88,101.942,101.951
1193000400,101.455,104.997,99.354,104.863
1193605200,104.955,107.851,104.321,106.022
1194213600,105.745,107.187,100.69,100.912
1194818400,99.875,101.129,95.628,99.189
1195423200,99.36,99.908,93.569,95.053
1196028000,95.48,98.686,92.985,98.381
1196632800,98.045,98.514,95.266,97.844
1197237600,97.417,100.067,96.295,97.505
1197842400,97.87,99.095,96.6,98.901
1198447200,99.068,100.167,98.317,98.391
1199052000,98.693,99.032,94.376,94.736
1199656800,94.583,98.357,94.468,96.978
1200261600,96.66,97.583,92.661,93.936
1200866400,93.803,95.416,90.132,93.872
1201471200,93.767,96.511,93.035,96.29
1202076000,96.188,97.505,94.17,96.114
1202680800,96.165,98.366,95.98,98.019
1203285600,97.946,99.577,97.779,99.014
1203890400,99.125,100.522,96.513,96.555
1204495200,96.683,97.575,94.626,95.152
1205096400,95.006,96.308,92.74,92.88
1205701200,92.966,93.633,88.164,89.809
1206306000,89.643,92.559,89.455,91.037
1206910800,90.83,94.433,90.437,93.639
1207515600,93.605,95.785,93.354,93.724
1208120400,93.987,97.431,92.712,96.911
1208725200,96.845,98.416,96.8,97.463
1209330000,97.512,98.78,96.141,98.482
1209934800,98.462,99.848,96.308,97.036
1210539600,96.91,99.808,96.403,99.431
1211144400,99.528,100.047,98.905,99.161
1211749200,99.073,101.078,98.943,100.862
1212354000,100.35,102.038,99.278,101.002
1212958800,100.64,102.029,100.415,101.579
1213563600,101.485,102.816,101.317,102.335
1214168400,102.16,103.702,101.751,102.002
1214773200,102.013,102.942,100.255,102.896
1215378000,102.779,103.174,101.386,102.707
1215982800,102.933,103.864,101.489,103.769
1216587600,104.013,104.485,102.141,103.126
1217192400,102.966,103.398,99.993,100.034
1217797200,100.033,100.934,97.569,97.925
1218402000,97.623,98.248,93.134,95.727
1219006800,95.818,96.464,94.128,95.364
1219611600,95.273,95.527,92.957,93.364
1220216400,92.893,93.213,85.038,87.905
1220821200,89.861,90.877,84.088,88.903
1221426000,86.575,89.803,81.439,89.6
1222030800,89.36,90.258,86.858,88.108
1222635600,88,88.942,80.98,81.507
1223240400,81.025,81.28,63.038,64.76
1223845200,67.746,74.533,64.696,70.055
1224450000,70.657,72.045,55.0735,58.695
1225054800,57.873,68.0765,55.589,65.751
1225663200,65.883,70.53,63.337,66.22
1226268000,68.137,69.424,60.0355,62.961
1226872800,61.104,64.14,56.866,60.69
1227477600,60.738,63.735,59.23,62.545
1228082400,62.393,62.466,57.724,60.018
1228687200,60.229,62.717,57.686,60.577
1229292000,60.608,63.5805,60.03,60.749
1229896800,60.874,62.337,60.695,62.105
1230501600,62.248,65.564,61.947,65.292
1231106400,65.423,68.317,63.3085,63.546
1231711200,63.019,63.119,58.1885,61.071
1232316000,61.558,62.206,56.2805,58.05
1232920800,58.217,60.89,56.8915,57.159
1233525600,57.303,62.682,55.5545,62.054
1234130400,61.837,62.7635,58.0945,60.339
1234735200,59.772,61.5505,58.484,60.233
1235340000,60.249,64.5925,59.7965,62.338
1235944800,62.474,64.7865,61.034,62.923
1236546000,62.962,64.9945,61.4185,64.479
1237150800,64.243,66.3315,63.79,65.897
1237755600,65.95,69.6255,65.897,67.941
1238360400,67.626,72.3345,64.984,71.723
1238965200,71.673,72.8705,70.0395,72.141
1239570000,72.99,73.4925,70.26,71.643
1240174800,71.905,71.912,68.067,70.28
1240779600,69.895,72.956,66.838,72.397
1241384400,72.633,75.915,71.9765,75.682
1241989200,75.851,76.192,71.063,71.322
1242594000,71.018,74.934,70.519,74.193
1243198800,73.903,76.917,73.096,76.353
1243803600,76.513,79.5145,75.95,78.267
1244408400,78.451,80.453,76.911,79.953
1245013200,79.627,79.712,75.1895,77.632
1245618000,77.436,77.591,74.041,76.863
1246222800,76.835,78.4015,75.8245,76.537
1246827600,76.398,76.6225,70.951,72.089
1247432400,71.938,75.989,70.761,75.576
1248037200,75.474,78.0565,75.4,77.468
1248642000,77.67,79.534,76.8575,79.14
1249246800,79.205,81.9305,78.999,81.689
1249851600,81.443,82.01,77.9075,79.046
1250456400,78.512,79.1525,76.6975,78.798
1251061200,78.949,79.881,77.323,78.728
1251666000,78.504,79.3865,76.418,79.117
1252270800,79.159,80.017,77.934,78.32
1252875600,77.872,79.9035,77.354,79.183
1253480400,79.177,80.0515,77.551,77.804
1254085200,77.789,79.564,76.323,77.702
1254690000,77.451,81.2365,77.384,81.136
1255294800,80.974,84.224,80.974,83.313
1255899600,83.24,85.326,82.8255,84.914
