date,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,result,pips,range_pips,target_price,stop_loss_price
2021.06.18,SHORT,15:15:00,1.18844,16:30:00,1.18649,TARGET,WIN,19.499999999998963,39.00000000000014,1.18649,1.19244
2021.06.21,LONG,12:00:00,1.18949,17:00:00,1.191625,TARGET,WIN,21.34999999999998,42.69999999999996,1.191625,1.18512
2021.06.22,SHORT,12:30:00,1.18907,18:45:00,1.19113,STOP_LOSS,LOSS,-20.599999999999508,19.599999999999618,1.18809,1.19113
2021.06.23,LONG,13:15:00,1.19464,16:45:00,1.19634,TARGET,WIN,17.000000000000348,33.99999999999848,1.19634,1.19114
2021.06.25,LONG,15:15:00,1.19517,15:30:00,1.195915,TARGET,WIN,7.449999999999957,14.899999999999913,1.195915,1.19358
2021.06.28,SHORT,14:30:00,1.19222,14:45:00,1.19115,TARGET,WIN,10.700000000001264,21.400000000000308,1.19115,1.19446
2021.06.29,SHORT,13:45:00,1.18984,15:15:00,1.188655,TARGET,WIN,11.849999999999916,23.699999999999832,1.188655,1.19231
2021.06.30,SHORT,13:15:00,1.1884,16:00:00,1.1872499999999997,TARGET,WIN,11.500000000002064,23.000000000001908,1.1872499999999997,1.1908
2021.07.01,LONG,13:45:00,1.18611,14:15:00,1.1872449999999999,TARGET,WIN,11.349999999998861,22.699999999999942,1.1872449999999999,1.18374
2021.07.02,SHORT,13:00:00,1.18212,15:30:00,1.1810800000000001,TARGET,WIN,10.399999999999299,20.799999999998597,1.1810800000000001,1.1843
2021.07.07,LONG,15:15:00,1.1833,16:00:00,1.18119,STOP_LOSS,LOSS,-21.100000000000563,20.100000000000673,1.1843050000000002,1.18119
2021.07.08,LONG,12:00:00,1.1826,14:00:00,1.1842350000000001,TARGET,WIN,16.35000000000053,32.70000000000106,1.1842350000000001,1.17923
2021.07.09,LONG,12:45:00,1.1847699999999999,13:00:00,1.18586,TARGET,WIN,10.900000000000354,21.799999999998487,1.18586,1.18249
2021.07.12,SHORT,12:45:00,1.1855,13:45:00,1.18431,TARGET,WIN,11.900000000000244,23.800000000000487,1.18431,1.18798
2021.07.13,SHORT,12:30:00,1.18402,15:30:00,1.1828100000000001,TARGET,WIN,12.099999999999334,24.199999999998667,1.1828100000000001,1.18654
2021.07.14,SHORT,12:00:00,1.17791,13:45:00,1.17995,STOP_LOSS,LOSS,-20.400000000000418,19.400000000000528,1.17694,1.17995
2021.07.15,SHORT,13:45:00,1.18246,14:30:00,1.18121,TARGET,WIN,12.499999999999734,24.999999999999467,1.18121,1.18506
2021.07.16,LONG,12:15:00,1.18205,14:45:00,1.17971,STOP_LOSS,LOSS,-23.400000000000087,22.400000000000198,1.18317,1.17971
2021.07.19,SHORT,15:15:00,1.17645,16:15:00,1.18046,STOP_LOSS,LOSS,-40.10000000000069,39.100000000000804,1.1744949999999998,1.18046
2021.07.20,LONG,12:15:00,1.17959,15:15:00,1.17721,STOP_LOSS,LOSS,-23.799999999998267,22.799999999998377,1.1807299999999998,1.17721
2021.07.21,LONG,16:45:00,1.17833,18:15:00,1.1798450000000003,TARGET,WIN,15.150000000001551,30.300000000000882,1.1798450000000003,1.1752
2021.07.22,LONG,14:45:00,1.1803,15:00:00,1.17792,STOP_LOSS,LOSS,-23.799999999998267,22.799999999998377,1.1814399999999998,1.17792
2021.07.27,LONG,15:00:00,1.1802,15:30:00,1.1817499999999999,TARGET,WIN,15.499999999999403,30.999999999998806,1.1817499999999999,1.177
2021.07.28,SHORT,14:15:00,1.18012,16:45:00,1.1787200000000002,TARGET,WIN,13.999999999998458,27.999999999999137,1.1787200000000002,1.18302
2021.07.30,LONG,12:30:00,1.19084,16:00:00,1.18751,STOP_LOSS,LOSS,-33.299999999998334,32.29999999999844,1.1924549999999998,1.18751
2021.08.03,LONG,12:45:00,1.18863,16:30:00,1.18712,STOP_LOSS,LOSS,-15.100000000001224,14.100000000001334,1.1893350000000003,1.18712
2021.08.04,LONG,15:30:00,1.1881,17:15:00,1.1842,STOP_LOSS,LOSS,-39.00000000000014,38.000000000000256,1.19,1.1842
2021.08.05,SHORT,12:45:00,1.18291,14:15:00,1.18496,STOP_LOSS,LOSS,-20.500000000001073,19.500000000001183,1.1819349999999997,1.18496
2021.08.06,SHORT,12:15:00,1.18064,15:30:00,1.1795149999999999,TARGET,WIN,11.250000000000426,22.500000000000853,1.1795149999999999,1.18299
2021.08.09,LONG,15:30:00,1.17677,17:15:00,1.175,STOP_LOSS,LOSS,-17.700000000000493,16.700000000000603,1.1776050000000002,1.175
2021.08.10,SHORT,12:15:00,1.17251,13:15:00,1.1716699999999998,TARGET,WIN,8.40000000000174,16.80000000000126,1.1716699999999998,1.17429
2021.08.11,LONG,15:15:00,1.17194,15:30:00,1.1725599999999998,TARGET,WIN,6.199999999998429,12.399999999999078,1.1725599999999998,1.1706
2021.08.12,SHORT,15:30:00,1.1731800000000001,16:45:00,1.1724100000000002,TARGET,WIN,7.699999999999374,15.399999999998748,1.1724100000000002,1.17482
2021.08.13,LONG,12:15:00,1.17439,13:00:00,1.1750250000000002,TARGET,WIN,6.350000000001632,12.700000000001044,1.1750250000000002,1.17302
2021.08.16,SHORT,14:00:00,1.17777,14:45:00,1.17706,TARGET,WIN,7.099999999999884,14.199999999999768,1.17706,1.17929
2021.08.17,SHORT,15:30:00,1.17593,15:45:00,1.1747199999999998,TARGET,WIN,12.100000000001554,24.200000000000887,1.1747199999999998,1.17845
2021.08.18,SHORT,14:00:00,1.17118,18:15:00,1.1703400000000002,TARGET,WIN,8.399999999999519,16.799999999999038,1.1703400000000002,1.17296
2021.08.20,SHORT,14:30:00,1.16697,18:45:00,1.16875,STOP_LOSS,LOSS,-17.799999999998928,16.799999999999038,1.16613,1.16875
